"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"LIAONING WELLHOPE AGRI-TECH JOINT STOCK","8,464","","","1.668 Billion USD","China","Animal Feed, Meat / Poultry / Fish / Chicken, Consumer Defensive","","","","Shanghai","https://www.fahretail.com/"
"MOVIDA PARTICIPACOES","8,465","","","1.183 Billion USD","Brazil","Rent / Lease Services, Industries","","","","Bovespa Brazil","https://www.fahretail.com/"
"AEGIS LOGISTICS","8,466","500 Million USD","32 Million USD","1.205 Billion USD","India","Oil and Gas, Energy","1,323","S&P BSE ENERGY","","NSE, BSE","https://www.fahretail.com/"
"ALPEN","8,467","2,015 Million USD","0 Million USD","0.899 Billion USD","Japan","Retail, Consumer Cyclical","","","","Tokyo","https://www.fahretail.com/"
"ATARA BIOTHERAPEUTICS","8,468","0 Million USD","-307 Million USD","1.629 Billion USD","USA","Biotechnology, Technology, Healthcare","393","","","Frankfurt, Nasdaq","https://www.fahretail.com/"
"HOOTECH INC.","8,469","","","","China","Mining, Basic Materials","","","","Shenzhen","https://www.fahretail.com/"
"TOKYO STEEL MANUFACTURING","8,470","1,333 Million USD","56 Million USD","0.776 Billion USD","Japan","Iron and Steel, Metals, Basic Materials","","","","Tokyo","https://www.fahretail.com/"
"LONG YUAN CONSTRUCTION GROUP","8,471","","","1.225 Billion USD","China","Construction, Industries","","","","Shanghai","https://www.fahretail.com/"
"KING SLIDE WORKS","8,472","173 Million USD","42 Million USD","1.008 Billion USD","Taiwan","Home Furnishing, Metal Products Manufacturing, Industries","","","","Taiwan","https://www.kingslide.com/"
"MCCARTHY & STONE","8,473","","","0.881 Billion USD","UK","Construction, Consumer Cyclical","","","","LSE, Frankfurt","https://www.kingslide.com/"
"EUROPEAN OPPORTUNITIES TRUST","8,473","18 Million USD","1 Million USD","1.088 Billion USD","UK","Asset Management","","","","LSE","https://www.kingslide.com/"
"SUZHOU ANJIE TECHNOLOGY","8,474","","","1.673 Billion USD","China","Computers Hardware, Technology","","","","Shenzhen","https://www.kingslide.com/"
"GREEN BRICK PARTNERS","8,475","976 Million USD","114 Million USD","1.140 Billion USD","USA","Construction Materials, Capital Goods, Consumer Cyclical","460","","","Frankfurt, Nasdaq","https://www.kingslide.com/"
"FUKUOKA REIT CORPORATION","8,476","161 Million USD","50 Million USD","1.182 Billion USD","Japan","Property Investments, Real Estate","41","","","Tokyo","https://www.kingslide.com/"
"PC CONNECTION","8,477","2,590 Million USD","56 Million USD","1.238 Billion USD","USA","Consumer Services, Technology","2,609","","","Nasdaq","https://www.kingslide.com/"
"PRIMECITY INVESTMENT","8,477","","","0.880 Billion USD","Cyprus","Real Estate, Hotels, Consumer Cyclical","","","","Frankfurt","https://www.kingslide.com/"
"U.S. CONCRETE","8,478","1,366 Million USD","26 Million USD","0.666 Billion USD","USA","Construction Materials, Basic Materials","3,300","","","Nasdaq","https://www.kingslide.com/"
"MEDLEY","8,479","","","1.343 Billion USD","Japan","Healthcare Technology and Information, Healthcare","","","","Tokyo","https://www.kingslide.com/"
"DELEK US HOLDINGS","8,480","7,302 Million USD","-608 Million USD","1.185 Billion USD","USA","Oil and Gas, Oil Refining, Energy","","","","NYSE","http://www.delekus.com"
"KPIT TECHNOLOGIES LIMITED","8,481","","","","India","Software and IT, Technology","","","","NSE","http://www.delekus.com"
"CASCADES","8,482","4,126 Million USD","158 Million USD","1.171 Billion USD","Canada","Paper and Pulp, Basic Materials","12,300","","","TSX","http://www.delekus.com"
"HARVIA OYJ","8,483","128 Million USD","18 Million USD","0.556 Billion USD","Finland","Home Improvement, Consumer Services, Consumer Cyclical","","","","","http://www.delekus.com"
"TRULY INTERNATIONAL HOLDINGS","8,484","2,882 Million USD","65 Million USD","0.407 Billion USD","Hong Kong","Electronics, Consumer Electronics, Technology","","","","HKeX","http://www.delekus.com"
"ZHEJIANG HUANGMA TECHNOLOGY","8,485","","","1.198 Billion USD","China","Chemicals, Basic Materials","","","","Shanghai","http://www.delekus.com"
"ALM. BRAND A/S","8,486","1,247 Million USD","99 Million USD","1.857 Billion USD","Denmark","Insurance, Financial Services","1,725","","","Copenhagen","http://www.delekus.com"
"FUJI SEAL INTERNATIONAL","8,487","1,489 Million USD","76 Million USD","1.086 Billion USD","Japan","Packaging, Consumer Cyclical","","","","Tokyo","http://www.delekus.com"
"PGT INNOVATIONS","8,488","883 Million USD","45 Million USD","1.199 Billion USD","USA","Construction Materials, Capital Goods, Industries","","","","Frankfurt, NYSE","http://www.delekus.com"
"HENGDIAN ENTERTAINMENT","8,489","148 Million USD","-72 Million USD","1.830 Billion USD","China","Entertainment, Communication Services","","","","Shanghai","http://www.delekus.com"
"CHINA RESOURCES AND ENVIRONMENT","8,490","","","1.220 Billion USD","China","Waste and Trash Management, Industries","","","","Shanghai","https://en.crc.com.cn/"
"KFORCE","8,491","1,397 Million USD","56 Million USD","0.924 Billion USD","USA","Technology, Professional Services, Industries","2,300","","","Nasdaq","https://en.crc.com.cn/"
"TERRASCEND","8,492","165 Million USD","-129 Million USD","0.741 Billion USD","Canada","Pharmaceutical, Healthcare","","","","Frankfurt","https://en.crc.com.cn/"
"UNITED LABORATORIES INTERNATIONAL HOLDINGS","8,493","1,316 Million USD","105 Million USD","1.306 Billion USD","Hong Kong","Pharmaceutical, Healthcare","","","","HKeX","https://en.crc.com.cn/"
"CHENZHOU CITY JINGUI SILVER INDUSTRY CO., LTD.","8,494","","","","China","Silver Mining, Basic Materials","","","","Shenzhen","https://en.crc.com.cn/"
"DADA S.P.A.","8,495","","","","Italy","Entertainment, Gaming, Technology","","","","","https://en.crc.com.cn/"
"WAROM TECHNOLOGY COMPANY","8,496","","","0.834 Billion USD","China","Lighting Products, Electrical Products, Industries","","","","Shanghai","https://en.crc.com.cn/"
"SOPHIA GENETICS SA","8,497","","","","Switzerland","Healthcare Technology and Information","","","","Nasdaq","https://en.crc.com.cn/"
"REPARE THERAPEUTICS INC.","8,498","0 Million USD","-53 Million USD","1.261 Billion USD","Canada","Biotechnology","","","","Nasdaq","https://en.crc.com.cn/"
"NINGBO ZHENYU TECHNOLOGY CO., LTD.","8,499","","","","China","Metal Products Manufacturing, Metal Fabrication Products","","","","Shenzhen","https://en.crc.com.cn/"
"SHANGHAI KINDLY ENTERPRISE DEVELOPMENT GROUP","8,500","","","1.061 Billion USD","China","Medical Equipment, Healthcare","","","","Shanghai","http://new.kdlchina.com/"
"FUJIAN FOXIT SOFTWARE DEVELOPMENT JOINT STOCK CO.,LTD","8,501","","","","China","Software and IT, Technology","","","","Shanghai","http://new.kdlchina.com/"
"PLANTRONICS, INC.","8,502","","","","USA","Communications Equipment, Technology","","","","","http://new.kdlchina.com/"
"USI CORPORATION","8,503","1,807 Million USD","87 Million USD","0.863 Billion USD","Taiwan","Plastics / Plastic Products, Chemicals, Basic Materials","","","","Taiwan","http://new.kdlchina.com/"
"MFF CAPITAL INVESTMENTS","8,504","28 Million USD","19 Million USD","1.163 Billion USD","Australia","Asset Management, Financial Services","","","","ASX","http://new.kdlchina.com/"
"SAMITIVEJ PUBLIC COMPANY","8,505","310 Million USD","43 Million USD","1.333 Billion USD","Thailand","Hospitals, Healthcare","","","","Thailand","http://new.kdlchina.com/"
"HARBIN BANK","8,506","","","1.418 Billion USD","China","Banking Services, Financial Services","","","","HKeX","http://new.kdlchina.com/"
"JAWS MUSTANG ACQUISITION CORPORATION","8,507","","","","USA","Shell Company, Financial Services","","","","","http://new.kdlchina.com/"
"OKINAWA CELLULAR TELEPHONE COMPANY","8,508","700 Million USD","99 Million USD","1.165 Billion USD","Japan","Telecom, Communication Services","374","","","Tokyo","http://new.kdlchina.com/"
"HARVEST HEALTH & RECREATION","8,509","652 Million USD","4 Million USD","0.797 Billion USD","USA","Pharmaceutical, Healthcare","","","","","http://new.kdlchina.com/"
"CORE LABORATORIES","8,510","575 Million USD","-115 Million USD","1.182 Billion USD","Netherlands","Oil and Gas Equipment and Services, Oil and Gas, Energy","3,700","","","Frankfurt, NYSE, EURONEXT","https://www.corelab.com"
"APRIA, INC.","8,511","","","","USA","Medical Equipment","","","","Nasdaq","https://www.corelab.com"
"GRUPO GIGANTE S. A. B. DE C. V","8,512","1,281 Million USD","-110 Million USD","1.290 Billion USD","Mexico","Retail, Consumer Defensive","","","","Mexico","https://www.corelab.com"
"PT BENTOEL INTERNASIONAL INVESTAMA TBK","8,512","","","","Indonesia","Tobacco Products, Tobacco and Cigarette, Consumer Defensive","","","","Jakarta","https://www.corelab.com"
"CAPRI GLOBAL CAPITAL","8,513","92 Million USD","23 Million USD","0.761 Billion USD","India","Financial Services","","S&P BSE FINANCE","","NSE, BSE","https://www.corelab.com"
"ICHOR HOLDINGS","8,514","914 Million USD","33 Million USD","0.841 Billion USD","USA","Electronics, Semiconductors, Technology","","","","Nasdaq","https://www.corelab.com"
"INNER MONGOLIA PINGZHUANG ENERGY RESOURCES","8,515","","","0.561 Billion USD","China","Coal Mining, Mining, Energy","","","","Shenzhen","https://www.corelab.com"
"CLIENT SERVICE INTERNATIONAL","8,516","","","1.084 Billion USD","China","Software and IT, Technology","","","","Shenzhen","https://www.corelab.com"
"BENETEAU","8,517","1,577 Million USD","58 Million USD","0.939 Billion USD","France","Boats, Leisure, Consumer Cyclical","","","","Frankfurt, Frankfurt","https://www.corelab.com"
"FIBRA TERRAFINA","8,518","212 Million USD","52 Million USD","1.220 Billion USD","Mexico","Property Investments, Real Estate","","","","Mexico","https://www.corelab.com"
"VIB VERMOGEN AG","8,519","111 Million USD","78 Million USD","0.969 Billion USD","Germany","Real Estate","","","","Frankfurt","https://www.vib-ag.de/"
"SCOTTISH AMERICAN INVESTMENT CO.","8,520","133 Million USD","118 Million USD","1.032 Billion USD","UK","Asset Management","","","","LSE","https://www.vib-ag.de/"
"MRV ENGENHARIA E PARTICIPACOES","8,521","1,235 Million USD","102 Million USD","1.758 Billion USD","Brazil","Construction, Real Estate, Consumer Cyclical","","","","Bovespa Brazil","https://www.vib-ag.de/"
"YIT OYJ","8,522","3,591 Million USD","-9 Million USD","1.255 Billion USD","Finland","Construction, Industries","","","","","https://www.vib-ag.de/"
"CHONGQING CHUANYI AUTOMATION","8,523","","","0.682 Billion USD","China","Industry Machinery, Machinery Manufacturing, Industries","","","","Shanghai","https://www.vib-ag.de/"
"JANGHO GROUP","8,524","","","1.026 Billion USD","China","Construction, Industries","","","","Shanghai","https://www.vib-ag.de/"
"Y.H. DIMRI CONSTRUCTION & DEVELOPMENT LTD","8,525","342 Million USD","47 Million USD","0.870 Billion USD","Israel","Real Estate","","","","Tel Aviv","https://www.vib-ag.de/"
"TKD SCIENCE AND TECHNOLOGY","8,526","","","0.543 Billion USD","China","Semiconductors, Technology","","","","Shanghai","https://www.vib-ag.de/"
"HANGZHOU ZHONGTAI CRYOGENIC TECHNOLOGY CORPORATION","8,527","","","0.750 Billion USD","China","Industry Machinery, Industries","","","","Shenzhen","https://www.vib-ag.de/"
"GRAUBUNDNER KANTONALBANK","8,528","","","1.248 Billion USD","Switzerland","Banking Services, Financial Services","","","","Switzerland","https://www.vib-ag.de/"
"DEVOTEAM SA","8,529","897 Million USD","48 Million USD","0.930 Billion USD","France","Software and IT, Technology","","","","Frankfurt, EURONEXT","https://www.devoteam.com/"
"ALLOVIR, INC.","8,530","0 Million USD","-70 Million USD","2.370 Billion USD","USA","Biotechnology, Healthcare","21","","","Nasdaq","https://www.devoteam.com/"
"BERKSHIRE HILLS BANCORP","8,531","476 Million USD","-533 Million USD","0.870 Billion USD","USA","Banking Services, Financial Services","1,873","","","NYSE","https://www.devoteam.com/"
"JNBY DESIGN","8,532","","","0.602 Billion USD","China","Apparels and Accessories, Consumer Cyclical","","","","HKeX","https://www.devoteam.com/"
"FARO TECHNOLOGIES","8,533","304 Million USD","1 Million USD","1.260 Billion USD","USA","Software and IT, Software Products, Technology","1,364","","","Nasdaq","https://www.devoteam.com/"
"ALM EQUITY AB (PUBL)","8,534","211 Million USD","13 Million USD","1.009 Billion USD","Sweden","Real Estate","","","","Stockholm","https://www.devoteam.com/"
"CAVERION OYJ","8,535","2,520 Million USD","10 Million USD","0.963 Billion USD","Finland","Building Automation, Building Products and Equipment, Industries","15,000","","","","https://www.devoteam.com/"
"R&B FOOD SUPPLY PUBLIC COMPANY","8,536","95 Million USD","16 Million USD","0.620 Billion USD","Thailand","FMCG, Package Foods, Consumer Defensive","","","","Thailand","https://www.devoteam.com/"
"CORPORACION INMOBILIARIA VESTA B. DE C.V","8,537","7 Million USD","3 Million USD","1.018 Billion USD","Mexico","Real Estate","","","","Mexico","https://www.devoteam.com/"
"NUFARM","8,538","2,107 Million USD","-337 Million USD","1.197 Billion USD","Australia","Chemicals, Fertilizers, Basic Materials","","","","ASX","https://www.devoteam.com/"
"MOMENTUM GROUP AB (PUBL)","8,539","736 Million USD","26 Million USD","0.866 Billion USD","Sweden","Industrial Components Suppliers, Industries","","","","Stockholm","https://www.momentum.group/en/"
"JIANGSU JIANGYIN RURAL COMMERCIAL BANK","8,540","","","1.423 Billion USD","China","Banking Services, Financial Services","","","","Shenzhen","https://www.momentum.group/en/"
"PBF ENERGY","8,541","15,116 Million USD","-1,392 Million USD","0.853 Billion USD","USA","Oil and Gas, Oil Refining, Energy","3,729","","","Mexico, NYSE","https://www.momentum.group/en/"
"RIANLON CORPORATION","8,542","","","1.233 Billion USD","China","Chemicals, Basic Materials","","","","Shenzhen","https://www.momentum.group/en/"
"SUPALAI PUBLIC COMPANY","8,543","618 Million USD","128 Million USD","1.323 Billion USD","Thailand","Real Estate","","","","Thailand","https://www.momentum.group/en/"
"HAINAN HULUWA PHARMACEUTICAL GROUP CO., LTD.","8,544","","","","China","Biotechnology, Healthcare","","","","Shanghai","https://www.momentum.group/en/"
"HIVE BLOCKCHAIN TECHNOLOGIES LTD.","8,545","","","","Canada","Stock Markets, Trading, Capital Markets, Financial Services","","","","","https://www.momentum.group/en/"
"ATRION CORPORATION","8,546","31 Million USD","32 Million USD","1.175 Billion USD","USA","Medical Equipment, HealthCare Products, Healthcare","616","","","Nasdaq","https://www.momentum.group/en/"
"GREE","8,547","580 Million USD","25 Million USD","1.305 Billion USD","Japan","Gaming, Electronics, Communication Services","","","","Tokyo","https://www.momentum.group/en/"
"BOLSA MEXICANA DE VALORES","8,548","187 Million USD","75 Million USD","1.437 Billion USD","Mexico","Stock Markets, Trading, Capital Markets, Financial Services","","","","Frankfurt","https://www.momentum.group/en/"
"PROCTER & GAMBLE HEALTH LIMITED","8,549","","","","India","Pharmaceutical, Healthcare","","","","NSE","https://www.pghealthindia.com/"
"NITTO BOSEKI","8,550","742 Million USD","76 Million USD","1.714 Billion USD","Japan","Construction Materials, Building Products and Equipment, Industries","2,690","","","Tokyo","https://www.pghealthindia.com/"
"CHULARAT HOSPITAL PUBLIC COMPANY","8,551","163 Million USD","26 Million USD","0.902 Billion USD","Thailand","Hospitals, Healthcare","","","","Thailand","https://www.pghealthindia.com/"
"RHON-KLINIKUM","8,552","","","1.344 Billion USD","Germany","Hospitals, Healthcare","","","","Deutsche Borse","https://www.pghealthindia.com/"
"MIRAMAR HOTEL AND INVESTMENT COMPANY","8,553","171 Million USD","39 Million USD","1.158 Billion USD","Hong Kong","Hotels, Rent / Lease Services, Consumer Cyclical","","","","HKeX","https://www.pghealthindia.com/"
"INFOCOM CORPORATION","8,554","642 Million USD","59 Million USD","1.801 Billion USD","Japan","Software and IT, Technology","1,171","","","Tokyo","https://www.pghealthindia.com/"
"SKYWORTH DIGITAL","8,555","","","1.300 Billion USD","China","Communications Equipment, Technology","","","","Shenzhen","https://www.pghealthindia.com/"
"YUZHOU PROPERTIES COMPANY","8,556","","","2.056 Billion USD","China","Real Estate","","","","HKeX","https://www.pghealthindia.com/"
"ODONTOPREV","8,557","335 Million USD","69 Million USD","1.486 Billion USD","Brazil","Insurance, Healthcare","","","","Bovespa Brazil","https://www.pghealthindia.com/"
"FOCUSED PHOTONICS (HANGZHOU)","8,558","","","0.808 Billion USD","China","Technology Hardware and Instruments, Technology","","","","Shenzhen","https://www.pghealthindia.com/"
"SBANKEN ASA","8,559","204 Million USD","82 Million USD","0.847 Billion USD","Norway","Banking Services, Financial Services","","","","Frankfurt","https://sbanken.no/"
"DOHIA GROUP","8,560","","","1.361 Billion USD","China","Textile, Consumer Cyclical","","","","Shenzhen","https://sbanken.no/"
"PRESIDENT SECURITIES CORPORATION","8,561","301 Million USD","130 Million USD","0.917 Billion USD","Taiwan","Stock Markets, Trading, Capital Markets, Financial Services","","","","Taiwan","https://sbanken.no/"
