medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Diagnostic Radiology;ABMS Radiology;Andres W. Su, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;Tufts University School of Medicine;Steward Carney Hospital;The Ichan School of Medicine at Mount
Infectious Diseases;ABMS Internal Medicine;Harold G. Stringer, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;University of Louisville School of Medicine;University of Mississippi School of Medicine;Baylor College of Medicine;Baylor College of Medicine
Radiation Oncology;ABMS Radiology;William  Stokes, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of North Carolina @ Chapel Hill, School of Medicine;University of Colorado Hospital;University of Colorado Hospital
Emergency Medicine;ABMS Emergency Medicine;Samantha S. Strickler, DO;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Mount Sinai Hospital;Michigan State University;;Geisinger Medical Center
Emergency Medicine;ABMS Emergency Medicine;Lekha A. Shah, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine-Emergency Medicine;New York Medical College;;SUNY Downstate Medical Center
Dermatopathology;ABMS Dermatology;Benjamin K. Stoff, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Texas;Baylor University Medical Center;Emory University School of Medicine
Diagnostic Radiology;ABMS Radiology;Arthur E. Stillman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Chicago Pritzker School of Medicine;;University of Chicago Hospitals
Internal Medicine;ABMS Internal Medicine;Antoine R. Trammell, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Meharry Medical College School of Medicine;Mercer University  School of Medicine;Mercer University  School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Bisan A. Salhi, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Michigan School of Medicine;;Emory University School of Medicine-Emergency Medicine
Dermatology;ABMS Dermatology;Richard L. Sturm, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;Jackson Memorial Hospital;Emory University School of Medicine
Ophthalmology;ABMS Ophthalmology;Priyanka  Sood, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Weill Cornell Medical College;Northwestern University;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Stan C. Sonu, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Cook County Health & Hospitals System;Medical College of Georgia;;Rush University Medical Center
Anesthesiology;ABMS Anesthesiology;Clifford  Song, MD, MS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Eastern Virginia Medical School;Naval Medical Center Portsmouth;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Anish  Shah, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Texas A&M University System, HSC College of Medicine;;Emory university
Neonatology;ABMS Pediatrics;William R. Sexson, MD, MABioethics, FAAP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Vanderbilt University Medical Center;University of Mississippi School of Medicine;Wilford Hall Medical Center;University of Mississippi Medical Center
Neonatology;ABMS Pediatrics;Elizabeth K. Sewell, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's National Medical Center;Medical College of Georgia;University of South Florida;Children's National Medical Center
Otolaryngology;ABMS Otolaryngology;Anita B. Sethna, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Avani Ingley, MD;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Clementino A. Solares, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pittsburgh Medical Center;ECFMG-Universudad Francisco Marroquin;Cleveland Clinic;Cleveland Clinic
Trauma Surgery;ABMS Surgery;Richard  Sola, Jr., MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;University of Missouri-Kansas City;Ponce School of Medicine, Ponce, Puerto Rico;University of North Carolina-Chapel Hill Hospital;Carolinas Medical Center
Critical Care Medicine;ABMS Critical Care Medicine;Richard H. Snyder, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Walter Reed Army Med. Ctr.;Meharry Medical College School of Medicine;;Eisenhower Army Medical Center
Nuclear Medicine;ABMS Nuclear Medicine;Ila  Sethi, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Jawahar Lal Nehru AMU;Weiss Memorial Hospital;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Maurice Donovan Selby, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;State University of New York Downstate College of Medicine;;SUNY at Brooklyn
Diagnostic Radiology;ABMS Radiology;Aarti K. Sekhar, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Beth Israel Deaconess Medical Center;University of Massachusetts;;University of Hawaii
Psychiatry;ABMS Psychiatry/Neurology;Perry G. Seese, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wayne State University School of Medicine;Sinai Hospital - Detroit;Institute of Living
Diagnostic Radiology;ABMS Radiology;Rebecca L. Seidel, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Jefferson Medical College;Albert Einstein College of Medicine;Emory University School of Medicine
Pediatric Medicine;ABMS Pediatrics;John K. Stevens, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington University School of Medicine;Washington University School of Medicine;St. Louis Children's Hospital;St. Louis Children's Hospital
Interventional Radiology;ABMS Radiology;Jamil A. Shaikh, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;Northeast Ohio Medical University;Jackson Health System;Rutgers University Professional Liability
Obstetrics/Gynecology;ABMS Nuclear Medicine;Barbara J. Simmons, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;SUNY, Downstate Medical School;NYU Medical Center;NYU Medical Center
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Fred H. Simonton, DMD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Washington University School of Medicine;;Henry Ford Hospital
Pediatric Medicine;ABMS Pediatrics;Keila L. Simmons, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;Meharry Medical College School of Medicine;;University of North Carolina at Chapel Hill
Internal Medicine;ABMS Internal Medicine;Barry D. Silverman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Johns Hopkins University School of Medicine;Ohio State University  College of Medicine;Vanderbilt University Medical Center;Vanderbilt University Medical Center
Clinical Neurophysiology;ABMS Psychiatry/Neurology;Maria A. Silva, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Heather F. Silver, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Temple University Hospital
Obstetrics/Gynecology;;Graysan K. Southern, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Georgetown University Hospital;;George Washington University School of Medicine
Transfusion Medicine;ABMS Pathology;James  Sikora, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Alabama at Birmingham;University of Miami School of Medicine;;University of Miami School of Medicine
Pulmonary & Critical Care;ABMS Internal Medicine;Alejandro H. Sardi-Freitez, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Albert Einstein Medical Center;Universidad De Los Andes;Albert Einstein Medical Center;Albert Einstein Medical Center
Neurology;ABMS Psychiatry/Neurology;Daniel M. Schachter, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Rush University Medical Center;New York Medical College;Rush University Medical Center;Rush University Medical Center
Rheumatology;ABMS Internal Medicine;Ignacio E. Sanz, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Southwestern Medical School;Universidad de Cantabria;Hospital Universitario Gregorio;Hospital Universitario Puerta De Hierro
Nuclear Medicine;ABMS Nuclear Medicine;Cesar A. Santana, MD;Male;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;Centro Diagnostico Nuclear;;;Hospital Provincial de Camaguey
Pediatric Medicine;ABMS Pediatrics;Rebecca D. Sanders, MD, PhD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Children's HealthCare of Atlanta-Hughes Spalding
Internal Medicine;ABMS Internal Medicine;Lawrence L. Sanders, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Vanderbilt University College of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Stephen  Sanders, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Texas;;Yale New Haven Hospital
Dermatology;ABMS Dermatology;Asha P. Shah, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Miami Miller;St. Lukes - Roosevelt;Harlem Hospital Center
Cardiovascular Disease;ABMS Internal Medicine;Olexandr V. Smolensky, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;Wayne State University;Indiana University School of Medicine
Pediatric Radiology;ABMS Radiology;Stephen F. Simoneaux, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Miami School of Medicine;University of Miami School of Medicine;Emory University School of Medicine
Medicine;ABMS Internal Medicine;Michelle W. Sims, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;University of Florida
Emergency Medicine;ABMS Emergency Medicine;Robert D. Vichich, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Louisville School of Medicine;;University of Louisville Hospital
Ophthalmology;ABMS Ophthalmology;William B. Wainright, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Duke Eye Center- Glaucoma Fellowship;Duke University School of Medicine;Moses Cone Hospital;Duke Eye Center- Residency Program
Orthopaedics;ABMS Orthopaedic Surgery;Eric R. Wagner, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo Clinic;University of Chicago;;Mayo Clinic
Neonatology;ABMS Pediatrics;Shilpa  Vyas-Read, MD, MSc;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas Southwestern Medical Center at Dallas;University of Alabama at Birmingham;;Children's Memorial Hospital
Internal Medicine;ABMS Internal Medicine;Judith C. Volcy, DO;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;New York College of Osteopathic Medicine;St. Michael's Medical Center;Morehouse School Of Medicine
Internal Medicine;ABMS Internal Medicine;Pamela D. Vohra-Khullar, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Pritzker Medical School;;Beth Israel Deaconess Medical Center
Otolaryngology;ABMS Otolaryngology;Esther X. Vivas, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pittsburgh Medical Center;Albert Einstein College of Medicine;;Montefiore Medical Center
Internal Medicine;ABMS Internal Medicine;Tiffany A. Walker, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Monika M. Zakaria, MD;Female;;Brookhaven Health Center;Grady;(404) 616-1000;;;;Emory Family Medicine Residency Program
Radiation Oncology;ABMS Radiology;David S. Yu, MD, PhD;Male;;Radiation-Oncology Center;Emory;(404) 616-1000;;UT Southwestern Medical Center;Summa Health System (NEOUCOM);Vanderbilt University Medical Center
Gynecologic Oncology;;Mallory L. Youngstrom, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Alabama;;Emory University
Otolaryngology;;David  Young, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical University of South Carolina;;Vanderbilt University
Orthopaedics;ABMS Orthopaedic Surgery;Sangwook T. Yoon, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Rush-Presbyterian-St. Luke's Medical Center;Yale University School of Medicine;University of California San Francisco School of Medicine;University of California San Francisco School of Medicine
Ophthalmology;ABMS Ophthalmology;Steven  Yeh, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;National Eye Institute;Baylor College of Medicine;Baylor College of Medicine;Cullen Eye Institute
Dermatology;ABMS Dermatology;Howa  Yeung, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;New York University School of Medicine;Yale New Haven Hospital;
Emergency Medicine;ABMS Emergency Medicine;Anna Q. Yaffee, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Michigan;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Randy L. Wallace, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wright State Boonshoft;;Cleveland Clinic Akron General
Ophthalmology;ABMS Ophthalmology;Tan  Xu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Cleveland Clinic Foundation;Cleveland Clinic Foundation;Cleveland Clinic Foundation
Internal Medicine;ABMS Internal Medicine;Theresa E. Vettese, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wayne State University School of Medicine;;St Josoeph Mercy Hospital
Medical Oncology;ABMS Internal Medicine;Chunzhi  Xia, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Medical College of Wisconsin;Hubei University of Science and Technology Faulty;;Aurora Health care
Family Medicine;;Joslyn N. Witherspoon, MD, MPH;Female;;Camp Creek Comprehensive Care Center;Grady;(404) 616-1000;;;;
Ophthalmology;ABMS Ophthalmology;Ted H. Wojno, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Jackson Memorial Hospital;Wayne State University School of Medicine;William Beaumont Hospital-Royal Oak;Medical College of Wisconsin Affiliated Hospitals
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Elizabeth A. Wiskind, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University;Emory University School of Medicine;;Emory University
Neuroradiology;ABMS Radiology;Xin  Wu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California  San Francisco;University of Pennsylvania;Allegheny General Hospital;Bellevue Hospital
Medical Oncology;ABMS Internal Medicine;Christina S. Wu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Georgetown University School of Medicine;;St. Vincent's Medical Center;University of Massachusetts
Diagnostic Radiology;ABMS Radiology;Philip K. Wong, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Florida College of Medicine;University of Florida College of Medicine;Emory University Hospital
Emergency Medicine;ABMS Emergency Medicine;Daniel T. Wu, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Columbia University College of Physicians & Surgeons;St. Vincent's Hospital Medical Center - New York;Cook County Hospital
Psychiatry;ABMS Psychiatry/Neurology;Glenda L. Wrenn, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Jefferson Medical College;;University of Pennsylvania School of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Jennifer P. Wootten, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Mercer University School of Medicine;;Emory University School of Medicine
