"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Terry M Calcut","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Fabrizio DiNoto","Internal Medicine","Beaumont Hospital, Troy","","Male","English Italian","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Zahoorul Hassan","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Urdu","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Karla M Kasza","Internal Medicine","Beaumont Hospital, Trenton","","Female","English","Teenagers Adults Geriatrics","Oakwood Southshore Medical Center",""
"Besma Yako Mikhail","Pediatrics","Beaumont Hospital, Troy","","Female","Arabic Chaldean English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Redwan Asbahi","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","Wayne State University/DMC",""
"Kirsten M Miller-Unger","Pediatrics","Beaumont Hospital, Troy","","Female","English German Spanish","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Shafiqul Alam","Internal Medicine","Beaumont Hospital, Troy","","Male","Bengali English Japanese","Adults Geriatrics","Raritan Bay Medical Center",""
"Tangenilla M Fry-Riggins","Psychology","","","Female","English","Adults Geriatrics","Wayne State University",""
"Edward I Nazareno","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Johns Hospital & Medical Center",""
"Lourin N Chahin","Internal Medicine","Beaumont Hospital, Troy","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Osama N Nunu","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","Arabic English","Adults Geriatrics","St John Hospital & Medical Center",""
"Andrew J Dettore","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan",""
"Assem A Elfakih","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","East Tennessee State University Program",""
"Stephen R Bell","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Beaumont Hospital, Trenton",""
"Aimee M Espinosa","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Dheeraj Thammineni","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English Hindi Kannada Telugu","Adults Geriatrics","Wayne State University",""
"James R Tisius","Hospital Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Michael S. Silverstone","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","American Sign Language Arabic English Spanish","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Mouhamad F Rihawi","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","St John Hospital & Medical Center",""
"Michael W Nichols","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Katherine S Schafer","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sara Ali","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English Urdu","Adults Geriatrics","Ascension Providence Hospital",""
"Sheila P Meftah","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Jennifer L Raffin","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine",""
"Sudha R. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Female","English Gujarati Hindi","Adults Geriatrics","Polyclinic Hospital, Ohio",""
"Misha L Martinez","Pediatrics","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers","Cardinal Glennon Children's Hospital",""
"Stephanie J Bierlein-Timinsky","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.9 out of 5"
"Ronald Y Barnett","Geriatric Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Detroit Osteopathic Hospital & Bi-County Community Hospital",""
"Zeeshan Tarique","Pediatrics","Beaumont Hospital, Dearborn","","Female","English Hindi Urdu","Newborns Pediatrics Teenagers","Texas Tech University Health Sciences Center",""
"Michael L Faber","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Henry Ford Hospital",""
"Anne M Joannides Carbajo","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Alla Yeras","Family Medicine","Beaumont Hospital, Troy","","Female","English Polish Russian Ukrainian","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center",""
"Carl C Sarnacki","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"David E Weissman","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Haissam G El-Takech","Pediatrics","Beaumont Hospital, Dearborn","","Male","Arabic English French Lithuanian","Newborns Pediatrics Teenagers","St. John Hospital and Medical Center",""
"Terry M Calcut","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Kai K Palm","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Fabrizio DiNoto","Internal Medicine","Beaumont Hospital, Troy","","Male","English Italian","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Jamie C Baines","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan State University College of Osteopathic Medicine",""
"Shafiqul Alam","Internal Medicine","Beaumont Hospital, Troy","","Male","Bengali English Japanese","Adults Geriatrics","Raritan Bay Medical Center",""
"David W Peters","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Brian M Renard","Cardiology","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Besma Yako Mikhail","Pediatrics","Beaumont Hospital, Troy","","Female","Arabic Chaldean English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"William J Chung","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English Korean","Pediatrics","Washington Hospital Center",""
"Zahoorul Hassan","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Urdu","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Fabrizio DiNoto","Internal Medicine","Beaumont Hospital, Troy","","Male","English Italian","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Samuel J Flanders","Pediatrics","Beaumont Hospital, Grosse Pointe","","Male","English","Pediatrics Teenagers","Clarian Methodist Hospital of Indiana",""
"Terry M Calcut","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Brian J Kolender","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Rudy J Vervaeke","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","St John Hospital & Medical Center",""
"Rabia Bangash","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Pashto Urdu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Stacy K Richards","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Avikshitha Sudhakara","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Joyanta K Saha","Internal Medicine","Beaumont Hospital, Troy","","Male","Bengali English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Patricia C Nester","Family Medicine","Beaumont Hospital, Dearborn","","Female","English German","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"John F Tu","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","Chinese - Mandarin English","Adults","Massachusetts General Hospital",""
"Inas Hagroo","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Urdu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Jason Talbert","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Ross A Summers","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Scott P Stryd","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital",""
"Lakshmi V Pandrangi","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","MetroHealth Medical Center",""
"Farhat A Osman","Pediatrics","Beaumont Hospital, Troy","","Female","English Punjabi Urdu","Newborns Pediatrics Teenagers","Hospital for Sick Children",""
"Surinder Kaura","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Adults Geriatrics","Grace Hospital",""
"Puneet K Aggarwal","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Newborns Pediatrics Teenagers Adults Geriatrics","Hennepin County Medical Center",""
"Mara L Geiger","Internal Medicine","Beaumont Hospital, Troy","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Ehab M Brikho","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English","Adults Geriatrics","Ascension Providence Hospital",""
"Rakesh J. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Male","English Gujarati Hindi","Adults Geriatrics","Wayne State University/DMC",""
"Shafiqul Alam","Internal Medicine","Beaumont Hospital, Troy","","Male","Bengali English Japanese","Adults Geriatrics","Raritan Bay Medical Center",""
"Anthony J Agrusa","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital",""
"Mahmoud M Al-Shami","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","University of Nebraska Medical Center College of Medicine",""
"Sheila M Dolinshek","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Mona Eldin","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Teenagers Adults Geriatrics","Pontiac General",""
"David R Weidendorf","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English German","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Racheed Atassi","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Teenagers Adults Geriatrics","Finch University of Health Sciences/Chicago Medical",""
"Lauren M Rose","Family Medicine","Beaumont Hospital, Wayne","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Community Health Network",""
"Kelsey A Slete","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Sagar P Patel","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Central Michigan University College of Medicine",""
"Dudley Roberts","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Henry Ford Hospital - Detroit",""
"Michael S Doyle","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Philip J Sciturro","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Saima Aslam Khan","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Adults Geriatrics","Advocate Illinois Masonic Medical Center",""
"Shalini Gupta","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Hindi Punjabi Urdu","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Syed Khasim-Ali Jafri","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","University of Michigan Health System",""
"Genevieve J Crandall","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Maunda A Snodgrass","Internal Medicine","","","Female","English","Adults Geriatrics","Indiana University of Pennsylvania",""
"Donna M Hoban","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Teenagers Adults Geriatrics","Bon Secours Hospital","4.9 out of 5"
"Fikrat B Kayali","Pediatrics","Beaumont Hospital, Dearborn","","Female","Arabic English","Newborns Pediatrics Teenagers","Hurley Medical Center",""
"Michael S. Wayne","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Jennifer L Raffin","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine",""
"Mohanad Suede","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","McLaren Oakland",""
"Ronald Y Barnett","Geriatric Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Detroit Osteopathic Hospital & Bi-County Community Hospital",""
"Joyce McDonald","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bicounty Community Hospital",""
"James R Tisius","Hospital Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Dheeraj Thammineni","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English Hindi Kannada Telugu","Adults Geriatrics","Wayne State University",""
"Aimee M Espinosa","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Bradley H Sabin","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Northwestern University The Feinberg School of Medicine",""
"Stephen R Bell","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Beaumont Hospital, Trenton",""
"Remi O Soile","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Wayne State University / Detroit Medical Center",""
"Marc F Weisman","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Newborns Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Racheed Atassi","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Teenagers Adults Geriatrics","Finch University of Health Sciences/Chicago Medical",""
